episode_id,controller,trajectory_kind,shift_type,shift_intensity,shift_time,unseen,compound_shift,condition_group,rmse,mae,final_position_error,heading_error,success,recovery_time,control_smoothness,control_energy_proxy,peak_error_after_shift,mean_error_after_shift,robustness_score,mean_estimated_uncertainty,peak_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,post_shift_correction_gain,mean_structure_gain,post_shift_structure_gain,mean_disturbance_gain,post_shift_disturbance_gain
eval_2026_actuator_delay_medium_02,baseline,sinusoid,actuator_delay,medium,8.017001446907233,0,0,in_distribution_single_shift,0.08238247036933899,0.04452742263674736,0.025362085551023483,0.04779145494103432,1.0,0.35000038146972656,0.0534432977437973,0.2872890532016754,0.025362085551023483,0.014895526692271233,0.9209196668449362,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_medium_02,adaptive_mlp,sinusoid,actuator_delay,medium,8.017001446907233,0,0,in_distribution_single_shift,0.08242350816726685,0.04042934626340866,0.01813933439552784,0.04575160890817642,1.0,0.35000038146972656,0.07049406319856644,0.28742867708206177,0.01813933439552784,0.012348775751888752,0.9208818751051906,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_medium_02,adaptive_gru_nominal,sinusoid,actuator_delay,medium,8.017001446907233,0,0,in_distribution_single_shift,0.08213645219802856,0.042312927544116974,0.018374674022197723,0.04728059098124504,1.0,0.35000038146972656,0.07206341624259949,0.2886864244937897,0.018374674022197723,0.012512135319411755,0.9211462576888869,0.26101067662239075,0.5542042255401611,0.33704182505607605,0.22007085382938385,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_medium_02,adaptive_gru_uncertainty,sinusoid,actuator_delay,medium,8.017001446907233,0,0,in_distribution_single_shift,0.08179238438606262,0.043473489582538605,0.02155272290110588,0.04673780873417854,1.0,0.35000038146972656,0.07581480592489243,0.289791464805603,0.02155272290110588,0.013817792758345604,0.9214632489963961,0.2563399076461792,0.4624861180782318,0.33940163254737854,0.21161434054374695,0.9452918767929077,0.9103334546089172,0.998447835445404,0.9979658126831055,0.9452918767929077,0.9103334546089172
eval_2026_actuator_delay_medium_03,baseline,figure8,actuator_delay,medium,7.47382127260205,0,0,in_distribution_single_shift,0.16580572724342346,0.09244295209646225,0.062130022794008255,0.06785403192043304,1.0,0.34999990463256836,0.08258683234453201,1.610912561416626,0.14408448338508606,0.06688305735588074,0.8472108081818673,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_medium_03,adaptive_mlp,figure8,actuator_delay,medium,7.47382127260205,0,0,in_distribution_single_shift,0.16284339129924774,0.08717241883277893,0.06449275463819504,0.06447024643421173,1.0,0.34999990463256836,0.18456198275089264,1.6063194274902344,0.11571501940488815,0.055117879062891006,0.8497242522059802,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_medium_03,adaptive_gru_nominal,figure8,actuator_delay,medium,7.47382127260205,0,0,in_distribution_single_shift,0.16118073463439941,0.08462895452976227,0.05805680528283119,0.0597175695002079,1.0,0.34999990463256836,0.14636902511119843,1.5793672800064087,0.11617929488420486,0.05396197736263275,0.851138227048806,0.1941576451063156,0.5477930903434753,0.2532846927642822,0.16232001781463623,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_medium_03,adaptive_gru_uncertainty,figure8,actuator_delay,medium,7.47382127260205,0,0,in_distribution_single_shift,0.16026484966278076,0.08462689071893692,0.05918244272470474,0.061438243836164474,1.0,0.34999990463256836,0.1350078284740448,1.5901691913604736,0.11743947118520737,0.05379662662744522,0.8519181288553841,0.18911102414131165,0.45147478580474854,0.2669740915298462,0.14718474447727203,0.9679490923881531,0.9417493343353271,0.9999313950538635,0.9999109506607056,0.9679490923881531,0.9417493343353271
eval_2026_actuator_delay_severe_00,baseline,lane_change,actuator_delay,severe,7.7077628589365,1,0,hard_unseen_trajectory,0.15769389271736145,0.07484715431928635,0.008083757944405079,0.0699557512998581,1.0,0.35000038146972656,0.08268974721431732,0.9704516530036926,0.014640732668340206,0.010426828637719154,0.8541111916126783,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_severe_00,adaptive_mlp,lane_change,actuator_delay,severe,7.7077628589365,1,0,hard_unseen_trajectory,0.15636232495307922,0.06988181918859482,0.005367548670619726,0.06798660755157471,1.0,0.35000038146972656,0.12257640808820724,0.9831392765045166,0.015720730647444725,0.009872072376310825,0.8552492560793653,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_severe_00,adaptive_gru_nominal,lane_change,actuator_delay,severe,7.7077628589365,1,0,hard_unseen_trajectory,0.15531285107135773,0.06982831656932831,0.009197183884680271,0.06681005656719208,1.0,0.35000038146972656,0.10176137089729309,0.9875190854072571,0.015521317720413208,0.010245494544506073,0.8561472889845977,0.20674163103103638,0.4319939613342285,0.27848896384239197,0.1681084781885147,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_severe_00,adaptive_gru_uncertainty,lane_change,actuator_delay,severe,7.7077628589365,1,0,hard_unseen_trajectory,0.1558685600757599,0.07086125016212463,0.004941927269101143,0.06784320622682571,1.0,0.35000038146972656,0.15524174273014069,0.9764564037322998,0.012656336650252342,0.00824667327105999,0.8556716523970219,0.18928468227386475,0.5972318053245544,0.29757431149482727,0.1309749037027359,0.9737723469734192,0.956719160079956,0.9997811317443848,0.9994982481002808,0.9737723469734192,0.956719160079956
eval_2026_actuator_delay_severe_01,baseline,figure8,actuator_delay,severe,6.126281487919394,0,0,in_distribution_single_shift,0.08345162123441696,0.062036167830228806,0.16354304552078247,0.052297163754701614,1.0,0.34999990463256836,0.0720837414264679,1.1337852478027344,0.16354304552078247,0.08346644043922424,0.9199355909430026,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_severe_01,adaptive_mlp,figure8,actuator_delay,severe,6.126281487919394,0,0,in_distribution_single_shift,0.0738435834646225,0.057729460299015045,0.14674848318099976,0.043942876160144806,1.0,0.34999990463256836,0.2230100929737091,1.1373746395111084,0.14674848318099976,0.06697854399681091,0.9288169648112358,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_severe_01,adaptive_gru_nominal,figure8,actuator_delay,severe,6.126281487919394,0,0,in_distribution_single_shift,0.07926614582538605,0.06316771358251572,0.14323770999908447,0.04358595609664917,1.0,0.34999990463256836,0.17883235216140747,1.1244337558746338,0.14323770999908447,0.07847589999437332,0.9237940278003399,0.19699281454086304,0.5238312482833862,0.2814359664916992,0.1515234112739563,1.0,1.0,1.0,1.0,1.0,1.0
eval_2026_actuator_delay_severe_01,adaptive_gru_uncertainty,figure8,actuator_delay,severe,6.126281487919394,0,0,in_distribution_single_shift,0.07685724645853043,0.0599137544631958,0.14425835013389587,0.04508836939930916,1.0,0.34999990463256836,0.14932432770729065,1.1154555082321167,0.14425835013389587,0.07543744146823883,0.9260220370967146,0.23889032006263733,0.6288779377937317,0.27995526790618896,0.21677841246128082,0.9469137787818909,0.9662875533103943,0.9996676445007324,0.9998654723167419,0.9469137787818909,0.9662875533103943
