controller,condition_group,metric,mean,ci_low,ci_high,bootstrap_samples
adaptive_mlp,hard_unseen_trajectory,success,1.0,1.0,1.0,700
adaptive_mlp,hard_unseen_trajectory,robustness_score,0.8746328044705488,0.8599439276755284,0.8883022217881527,700
adaptive_mlp,in_distribution_single_shift,rmse,0.12827630275515495,0.11738593081547016,0.1398801316808978,700
adaptive_mlp,in_distribution_single_shift,final_position_error,0.06797208224155905,0.05229457971112828,0.08691331211566984,700
adaptive_mlp,in_distribution_single_shift,success,0.9722222222222222,0.9395833333333333,1.0,700
adaptive_mlp,in_distribution_single_shift,robustness_score,0.8722545471718128,0.8547483145978378,0.8873756994744593,700
adaptive_gru_nominal,overall,rmse,0.12572313082360087,0.11903245103072434,0.132056366178828,700
adaptive_gru_nominal,overall,final_position_error,0.052346067619509995,0.04522748283828454,0.0611248563475018,700
adaptive_gru_nominal,overall,success,0.996031746031746,0.9880952380952381,1.0,700
adaptive_gru_nominal,overall,robustness_score,0.8817965139800937,0.875703947762373,0.8878350615218007,700
adaptive_gru_nominal,compound_shift_ood,rmse,0.13682800617620902,0.12643874494479626,0.14823342851294136,700
adaptive_gru_nominal,compound_shift_ood,final_position_error,0.06759872078826581,0.055865830457251936,0.08118241296302856,700
adaptive_gru_nominal,compound_shift_ood,success,1.0,1.0,1.0,700
adaptive_gru_nominal,compound_shift_ood,robustness_score,0.8734955590036149,0.8643408277200051,0.8822583757993648,700
adaptive_gru_nominal,hard_unseen_trajectory,rmse,0.12407990172505379,0.1094518961540113,0.13757965532131491,700
adaptive_gru_nominal,hard_unseen_trajectory,final_position_error,0.016972284789921507,0.012028467551701599,0.022904863395443596,700
adaptive_gru_nominal,hard_unseen_trajectory,success,1.0,1.0,1.0,700
adaptive_gru_nominal,hard_unseen_trajectory,robustness_score,0.884099418853874,0.873627253337919,0.8958312352665189,700
adaptive_gru_nominal,in_distribution_single_shift,rmse,0.11516599850384174,0.1062397763348633,0.12496481798589228,700
adaptive_gru_nominal,in_distribution_single_shift,final_position_error,0.04888467539395033,0.03745859530360947,0.060743336986774074,700
adaptive_gru_nominal,in_distribution_single_shift,success,0.9907407407407407,0.9722222222222222,1.0,700
adaptive_gru_nominal,in_distribution_single_shift,robustness_score,0.8893298339986458,0.8769255054133595,0.8990882051508906,700
adaptive_gru_uncertainty,overall,rmse,0.12783783823547382,0.12095195927383703,0.13426657179222692,700
adaptive_gru_uncertainty,overall,final_position_error,0.05781651340634747,0.049901740671726105,0.0675438123284876,700
adaptive_gru_uncertainty,overall,success,0.9880952380952381,0.9722222222222222,1.0,700
adaptive_gru_uncertainty,overall,robustness_score,0.8774462241686859,0.8692256836782422,0.8847407504196668,700
adaptive_gru_uncertainty,compound_shift_ood,rmse,0.1402451044500426,0.12873953600345112,0.14983034007320248,700
adaptive_gru_uncertainty,compound_shift_ood,final_position_error,0.07553380695430355,0.06048787323977902,0.09264456706975276,700
adaptive_gru_uncertainty,compound_shift_ood,success,0.9722222222222222,0.9351851851851852,1.0,700
adaptive_gru_uncertainty,compound_shift_ood,robustness_score,0.8617136875582511,0.8456148971082647,0.8764217616976968,700
adaptive_gru_uncertainty,hard_unseen_trajectory,rmse,0.12344115517205662,0.10911298759488597,0.13710754407155845,700
adaptive_gru_uncertainty,hard_unseen_trajectory,final_position_error,0.01868034764063648,0.013469849544182781,0.025415773577373728,700
adaptive_gru_uncertainty,hard_unseen_trajectory,success,1.0,1.0,1.0,700
adaptive_gru_uncertainty,hard_unseen_trajectory,robustness_score,0.884720889970557,0.8725592030375765,0.8966374872898992,700
adaptive_gru_uncertainty,in_distribution_single_shift,rmse,0.1168961330420441,0.1081336697442802,0.1260858139635443,700
adaptive_gru_uncertainty,in_distribution_single_shift,final_position_error,0.05314460844696172,0.04207233704902238,0.0645197269781083,700
adaptive_gru_uncertainty,in_distribution_single_shift,success,1.0,1.0,1.0,700
adaptive_gru_uncertainty,in_distribution_single_shift,robustness_score,0.8907538721784971,0.8814663660163288,0.8984017117211027,700
