controller,condition_group,shift_type,shift_intensity,rmse_mean,rmse_std,mae_mean,final_position_error_mean,heading_error_mean,success_rate,recovery_time_mean,control_smoothness_mean,control_energy_proxy_mean,robustness_score_mean,mean_estimated_uncertainty,mean_structure_uncertainty,mean_disturbance_uncertainty,mean_correction_gain,mean_structure_gain,mean_disturbance_gain
adaptive_gru_uncertainty,compound_shift_ood,mass_shift+disturbance_burst,medium,0.18501779271496666,0.022547774501030418,0.1358293518424034,0.11162269891550143,0.1092993716398875,1.0,0.3500000105963813,0.12496004667547014,2.373431662718455,0.8312774127273617,0.2279126246770223,0.35322962866889107,0.16043424109617868,0.9665036996205648,0.9975706670019362,0.9665036996205648
adaptive_gru_uncertainty,compound_shift_ood,mass_shift+disturbance_burst,mild,0.12968959245416853,0.03912312684775835,0.0905103190905518,0.05793603571752707,0.0845097257859177,1.0,0.34999995761447483,0.1192923097146882,1.5398907131618924,0.8789595015687013,0.21571963694360521,0.32984474963612026,0.15426764968368742,0.968414478831821,0.9983021948072646,0.968414478831821
adaptive_gru_uncertainty,compound_shift_ood,mass_shift+disturbance_burst,severe,0.19137095246050093,0.04218934412845625,0.13224899189339745,0.1912487153377798,0.12205014295048183,0.7777777777777778,0.34999995761447483,0.12191535532474518,2.034277127848731,0.7565508364429548,0.2147601859437095,0.31602351201905143,0.16023378322521845,0.9652709232436286,0.9986289342244467,0.9652709232436286
adaptive_gru_uncertainty,compound_shift_ood,mass_shift+friction_shift,medium,0.11296402580208248,0.03930622622441937,0.08703060530953938,0.07956520261036025,0.06938386046224171,1.0,0.34999998410542804,0.09890479428900613,2.495686948299408,0.8937909161218518,0.20210912492540148,0.40528913670116,0.09270451217889786,0.9881719218360053,0.9944898353682624,0.9881719218360053
adaptive_gru_uncertainty,compound_shift_ood,mass_shift+friction_shift,mild,0.10925807514124447,0.044653404636603944,0.0687627647485998,0.04460221223740114,0.06433949060738087,1.0,0.3500000635782878,0.10307433414790365,2.1979648586776523,0.8972860964229002,0.20283426178826225,0.3842605948448181,0.10514314679635896,0.9827007982465956,0.9957200156317817,0.9827007982465956
adaptive_gru_uncertainty,compound_shift_ood,mass_shift+friction_shift,severe,0.1207395854095618,0.05250662011736347,0.09499268150991863,0.16864685093363127,0.07686309143900871,0.8888888888888888,0.34999995761447483,0.09585689918862449,2.708323657512665,0.8504817397094601,0.2039870321750641,0.38016242120001054,0.1091233558124966,0.983235134018792,0.9958151578903198,0.983235134018792
adaptive_gru_uncertainty,hard_unseen_trajectory,actuator_delay,medium,0.09083838885029157,0.03605184127309836,0.06111753173172474,0.007316829326252143,0.05579906019071738,1.0,0.34999990463256836,0.14024196565151215,1.8264164129892986,0.9135617970123612,0.1883080949385961,0.26236287752787274,0.14843242863814035,0.9681023160616556,0.9994931022326151,0.9681023160616556
adaptive_gru_uncertainty,hard_unseen_trajectory,actuator_delay,mild,0.10470179716746013,0.05499499311718944,0.061310529708862305,0.008302935011064013,0.049834769840041794,1.0,0.35000022252400714,0.11501665413379669,1.165923297405243,0.901493245007908,0.24862668911616007,0.2968829075495402,0.2226425657669703,0.9429847002029419,0.9994832873344421,0.9429847002029419
adaptive_gru_uncertainty,hard_unseen_trajectory,actuator_delay,severe,0.1554173802336057,0.04256605510148015,0.08565720915794373,0.013319173206885656,0.08271504441897075,1.0,0.35000022252400714,0.17166179915269217,2.3157315254211426,0.8565750175556989,0.1986367106437683,0.3106877903143565,0.13830151657263437,0.9710511962572733,0.9991006056467692,0.9710511962572733
adaptive_gru_uncertainty,hard_unseen_trajectory,disturbance_burst,medium,0.15335930387179056,0.03208892039836628,0.10006315261125565,0.021187288376192253,0.07918414225180943,1.0,0.3500000635782878,0.14373038212458292,1.603279670079549,0.8581145655480227,0.23579454918702444,0.2977995077768962,0.20240727563699087,0.9534351825714111,0.9992337425549825,0.9534351825714111
