episode_id,controller,trajectory_kind,shift_type,shift_intensity,shift_time,unseen,rmse,mae,final_position_error,heading_error,success,recovery_time,control_smoothness,control_energy_proxy,peak_error_after_shift,mean_error_after_shift,robustness_score
eval_2024_friction_shift_medium_03,adaptive,circle,friction_shift,medium,5.554747841147665,0,0.07064402848482132,0.050043437629938126,0.03553542494773865,0.04157727211713791,1.0,0.35000038146972656,0.0536872074007988,0.33295607566833496,0.04485780745744705,0.03786775469779968,0.9317935250510991
eval_2024_friction_shift_severe_00,baseline,sinusoid,friction_shift,severe,5.027802275261191,1,0.15855512022972107,0.11086924374103546,0.12912918627262115,0.02793816849589348,1.0,0.34999990463256836,0.053312890231609344,0.2649238705635071,0.12948985397815704,0.1099194884300232,0.8533759242175485
eval_2024_friction_shift_severe_00,adaptive,sinusoid,friction_shift,severe,5.027802275261191,1,0.14286653697490692,0.08659350126981735,0.07529981434345245,0.024342723190784454,1.0,0.34999990463256836,0.054151296615600586,0.26701825857162476,0.08278878033161163,0.06645103543996811,0.8668697562353549
eval_2024_friction_shift_severe_01,baseline,figure8,friction_shift,severe,5.796823914562495,0,0.1608004868030548,0.10702954232692719,0.10013555735349655,0.042658716440200806,1.0,0.34999990463256836,0.1079583540558815,2.0643749237060547,0.15563702583312988,0.09033315628767014,0.8514619320539787
eval_2024_friction_shift_severe_01,adaptive,figure8,friction_shift,severe,5.796823914562495,0,0.15391044318675995,0.09541372954845428,0.04474437236785889,0.04225120320916176,1.0,0.34999990463256836,0.11303206533193588,2.136190176010132,0.10733379423618317,0.06762116402387619,0.8573487989996837
eval_2024_friction_shift_severe_02,baseline,spline,friction_shift,severe,3.4369653407146354,0,0.0918351486325264,0.07504580914974213,0.07282141596078873,0.05544571951031685,1.0,0.34999990463256836,0.05395100265741348,0.22138521075248718,0.08206881582736969,0.06616336107254028,0.9122555237206263
eval_2024_friction_shift_severe_02,adaptive,spline,friction_shift,severe,3.4369653407146354,0,0.07829677313566208,0.05559020861983299,0.04270923510193825,0.04987172782421112,1.0,0.34999990463256836,0.06266261637210846,0.22639186680316925,0.053583305329084396,0.03938009962439537,0.9246899626790633
eval_2024_friction_shift_severe_03,baseline,circle,friction_shift,severe,7.6242361191771435,0,0.19373424351215363,0.11178234219551086,0.11938425153493881,0.0386107973754406,1.0,0.34999990463256836,0.05840371549129486,0.5147519707679749,0.13423335552215576,0.10778698325157166,0.8238768257890209
eval_2024_friction_shift_severe_03,adaptive,circle,friction_shift,severe,7.6242361191771435,0,0.18669173121452332,0.09666737169027328,0.05874747410416603,0.03513086587190628,1.0,0.34999990463256836,0.06198035553097725,0.5214734077453613,0.08929292857646942,0.068133145570755,0.8296994674135623
eval_2024_mass_shift_mild_00,baseline,spline,mass_shift,mild,4.924225408548401,1,0.1566324234008789,0.10566963255405426,0.04260896518826485,0.07479256391525269,1.0,0.34999990463256836,0.06134926155209541,0.6314679384231567,0.1918163299560547,0.08726519346237183,0.8550182857765808
eval_2024_mass_shift_mild_00,adaptive,spline,mass_shift,mild,4.924225408548401,1,0.14084051549434662,0.08052428811788559,0.02933504246175289,0.05600535124540329,1.0,0.34999990463256836,0.06864792853593826,0.6226876378059387,0.09243525564670563,0.04253564774990082,0.8686278333319428
eval_2024_mass_shift_mild_01,baseline,lane_change,mass_shift,mild,7.373592483821904,0,0.08767035603523254,0.05612675100564957,0.03210262954235077,0.05389641597867012,1.0,0.34999990463256836,0.057613126933574677,0.25115007162094116,0.12856237590312958,0.0625644251704216,0.9160628015306188
eval_2024_mass_shift_mild_01,adaptive,lane_change,mass_shift,mild,7.373592483821904,0,0.0799960345029831,0.04823902249336243,0.02225087396800518,0.045496609061956406,1.0,0.34999990463256836,0.06602197885513306,0.2570718228816986,0.08024770021438599,0.04230238497257233,0.9231200070090118
eval_2024_mass_shift_mild_02,baseline,spline,mass_shift,mild,5.651134714777991,0,0.09683140367269516,0.04638505354523659,0.004312046803534031,0.05355769023299217,1.0,0.34999990463256836,0.05437203496694565,0.12005273252725601,0.030867384746670723,0.013397241942584515,0.9077090296419685
eval_2024_mass_shift_mild_02,adaptive,spline,mass_shift,mild,5.651134714777991,0,0.09623682498931885,0.0427279993891716,0.0022673315834254026,0.04838249459862709,1.0,0.34999990463256836,0.06822670996189117,0.12099410593509674,0.018722891807556152,0.00852193869650364,0.9082488945618838
eval_2024_mass_shift_mild_03,baseline,sinusoid,mass_shift,mild,7.0206524633174086,0,0.065358966588974,0.04314512014389038,0.08381877094507217,0.053905777633190155,1.0,0.34999990463256836,0.05021890625357628,0.24449293315410614,0.1039193719625473,0.05185803398489952,0.9367311478330695
eval_2024_mass_shift_mild_03,adaptive,sinusoid,mass_shift,mild,7.0206524633174086,0,0.05728670209646225,0.03585034981369972,0.05381587892770767,0.05071917176246643,1.0,0.34999990463256836,0.05536743625998497,0.24003759026527405,0.06451094895601273,0.033524490892887115,0.9443232910847354
eval_2024_mass_shift_medium_00,baseline,sinusoid,mass_shift,medium,7.277332053891092,1,0.13185428082942963,0.062053531408309937,0.06699566543102264,0.06831660121679306,1.0,0.34999990463256836,0.05585439130663872,0.13467220962047577,0.06699566543102264,0.03137972950935364,0.876468704066911
eval_2024_mass_shift_medium_00,adaptive,sinusoid,mass_shift,medium,7.277332053891092,1,0.1310187727212906,0.05844259634613991,0.038710467517375946,0.06559998542070389,1.0,0.34999990463256836,0.060644812881946564,0.1363825798034668,0.038710467517375946,0.019295919686555862,0.8772013067808252
eval_2024_mass_shift_medium_01,baseline,sinusoid,mass_shift,medium,7.518815720664928,0,0.12374035269021988,0.08738815784454346,0.2541816532611847,0.11912355571985245,1.0,0.34999990463256836,0.0622434988617897,0.5681415796279907,0.2541816532611847,0.13807284832000732,0.8836092378618156
eval_2024_mass_shift_medium_01,adaptive,sinusoid,mass_shift,medium,7.518815720664928,0,0.0931759625673294,0.06340057402849197,0.15149500966072083,0.0922669842839241,1.0,0.34999990463256836,0.08133422583341599,0.586376965045929,0.15149500966072083,0.07382012158632278,0.9110331784542297
eval_2024_mass_shift_medium_02,baseline,figure8,mass_shift,medium,7.909779017891188,0,0.2839866876602173,0.17987972497940063,0.6279125213623047,0.118601955473423,0.0,0.34999990463256836,0.19057737290859222,7.714328765869141,0.8238790035247803,0.40377119183540344,0.45166599951494996
eval_2024_mass_shift_medium_02,adaptive,figure8,mass_shift,medium,7.909779017891188,0,0.162292018532753,0.11786191165447235,0.27183088660240173,0.07642253488302231,1.0,0.34999990463256836,0.20420925319194794,8.346701622009277,0.4172585904598236,0.23486855626106262,0.850192896204573
eval_2024_mass_shift_medium_03,baseline,sinusoid,mass_shift,medium,7.97905704271211,0,0.14171454310417175,0.07173579931259155,0.06605552136898041,0.05644551292061806,1.0,0.35000038146972656,0.0533154271543026,0.18508945405483246,0.08615779876708984,0.05253174901008606,0.8678689603092453
